schema,name,args,return_type,language,volatility,security_definer,lines,bytes,filename
public,et_log_doc,parameter jsonb,integer,plpgsql,v,false,42,1183,public/et_log_doc.sql
public,et_log_fact,parameter jsonb,integer,plpgsql,v,false,42,1173,public/et_log_fact.sql
public,et_log_insert,"parameter jsonb, OUT ref refcursor",refcursor,plpgsql,v,false,58,1482,public/et_log_insert.sql
public,et_log_insert,"parameter jsonb, ref refcursor",refcursor,plpgsql,v,false,32,953,public/et_log_insert__1.sql
public,et_log_pagination,parameter jsonb,integer,plpgsql,v,false,40,1148,public/et_log_pagination.sql
public,et_log_permission,parameter jsonb,integer,plpgsql,v,false,45,1251,public/et_log_permission.sql
public,et_log_sectionmaster,parameter jsonb,integer,plpgsql,v,false,35,944,public/et_log_sectionmaster.sql
public,et_log_tag,parameter jsonb,integer,plpgsql,v,false,33,822,public/et_log_tag.sql
public,et_log_tagassign,parameter jsonb,integer,plpgsql,v,false,37,1054,public/et_log_tagassign.sql
public,et_log_task,parameter jsonb,integer,plpgsql,v,false,33,814,public/et_log_task.sql
public,et_log_taskassign,parameter jsonb,integer,plpgsql,v,false,37,1026,public/et_log_taskassign.sql
public,et_log_teammaster,parameter jsonb,integer,plpgsql,v,false,35,863,public/et_log_teammaster.sql
public,et_log_user,parameter jsonb,uuid,plpgsql,v,false,26,693,public/et_log_user.sql
public,et_log_usermaster,parameter jsonb,integer,plpgsql,v,false,35,863,public/et_log_usermaster.sql
public,et_log_web,parameter jsonb,integer,plpgsql,v,false,42,1125,public/et_log_web.sql
public,et_navigate_bundletabs,"parameter json, ref1 refcursor",SETOF refcursor,plpgsql,v,false,25,914,public/et_navigate_bundletabs.sql
public,et_navigate_bundletags,"parameter json, ref1 refcursor",SETOF refcursor,plpgsql,v,false,25,742,public/et_navigate_bundletags.sql
public,et_navigate_checkdata,"parameter json, ref refcursor",refcursor,plpgsql,v,false,115,5840,public/et_navigate_checkdata.sql
public,et_navigate_doclist,"parameter json, ref1 refcursor",refcursor,plpgsql,v,false,108,4241,public/et_navigate_doclist.sql
public,et_navigate_fact_companies,"parameter json, ref refcursor",refcursor,plpgsql,v,false,31,1398,public/et_navigate_fact_companies.sql
public,et_navigate_factlinks,"parameter json, ref1 refcursor, ref2 refcursor, ref3 refcursor",SETOF refcursor,plpgsql,v,false,146,6199,public/et_navigate_factlinks.sql
public,et_navigate_factlist,"parameter json, ref1 refcursor, ref2 refcursor, ref3 refcursor",SETOF refcursor,plpgsql,v,false,146,6401,public/et_navigate_factlist.sql
public,et_navigate_facts_bycompany,"parameter json, ref1 refcursor, ref2 refcursor, ref3 refcursor",SETOF refcursor,plpgsql,v,false,142,6602,public/et_navigate_facts_bycompany.sql
public,et_navigate_get_all,"parameter json, ref1 refcursor, ref2 refcursor, ref3 refcursor",SETOF refcursor,plpgsql,v,false,350,12706,public/et_navigate_get_all.sql
public,et_navigate_get_all_links,"parameter json, ref1 refcursor, ref2 refcursor, ref3 refcursor",SETOF refcursor,plpgsql,v,false,266,9349,public/et_navigate_get_all_links.sql
public,et_navigate_get_all_test,"parameter json, ref1 refcursor, ref2 refcursor, ref3 refcursor",SETOF refcursor,plpgsql,v,false,347,12723,public/et_navigate_get_all_test.sql
public,et_navigate_shared_users,"parameter json, ref1 refcursor",refcursor,plpgsql,v,false,40,991,public/et_navigate_shared_users.sql
public,et_navigate_task_facts,"parameter json, ref1 refcursor, ref2 refcursor, ref3 refcursor",SETOF refcursor,plpgsql,v,false,86,3113,public/et_navigate_task_facts.sql
public,et_navigate_task_files,"parameter json, ref1 refcursor, ref2 refcursor",SETOF refcursor,plpgsql,v,false,57,1804,public/et_navigate_task_files.sql
public,et_navigate_weblinks,"parameter json, ref1 refcursor",refcursor,plpgsql,v,false,67,2079,public/et_navigate_weblinks.sql
public,et_notification_delete,"parameter json, ref refcursor",refcursor,plpgsql,v,false,29,795,public/et_notification_delete.sql
public,et_notification_insert,"parameter json, ref refcursor",refcursor,plpgsql,v,false,42,1802,public/et_notification_insert.sql
public,et_notification_list,"parameter json, ref refcursor",refcursor,plpgsql,v,false,39,1674,public/et_notification_list.sql
public,et_notification_sync,"parameter json, ref refcursor",refcursor,plpgsql,v,false,24,677,public/et_notification_sync.sql
public,et_notifications_caseusers,"parameter json, ref refcursor",refcursor,plpgsql,v,false,40,1695,public/et_notifications_caseusers.sql
public,et_ocr_data,"parameter json, ref1 refcursor, ref2 refcursor",SETOF refcursor,plpgsql,v,false,37,1401,public/et_ocr_data.sql
public,et_ocr_filelist,"parameter json, ref1 refcursor",SETOF refcursor,plpgsql,v,false,42,2229,public/et_ocr_filelist.sql
public,et_ocr_list,"parameter json, ref1 refcursor, ref2 refcursor",SETOF refcursor,plpgsql,v,false,29,832,public/et_ocr_list.sql
public,et_ocr_update,"parameter json, ref1 refcursor",refcursor,plpgsql,v,false,48,1956,public/et_ocr_update.sql
public,et_pagination_add_queue,"parameter json, ref refcursor",refcursor,plpgsql,v,false,22,620,public/et_pagination_add_queue.sql
public,et_pagination_generate_prefix,"parameter json, ref refcursor",refcursor,plpgsql,v,false,109,5074,public/et_pagination_generate_prefix.sql
public,et_pagination_generatedata,"parameter json, ref refcursor",refcursor,plpgsql,v,false,217,11360,public/et_pagination_generatedata.sql
public,et_pagination_getdata,"parameter json, ref refcursor",refcursor,plpgsql,v,false,32,1339,public/et_pagination_getdata.sql
public,et_pagination_nonpaginate_filedata,"parameter json, ref refcursor",refcursor,plpgsql,v,false,83,3718,public/et_pagination_nonpaginate_filedata.sql
public,et_pagination_update_progress,"parameter json, ref refcursor",refcursor,plpgsql,v,false,73,4544,public/et_pagination_update_progress.sql
public,et_pm_get_case_permission,"parameter json, ref refcursor",refcursor,plpgsql,v,false,23,743,public/et_pm_get_case_permission.sql
public,et_pm_get_quota,"parameter json, ref1 refcursor",SETOF refcursor,plpgsql,v,false,26,667,public/et_pm_get_quota.sql
public,et_pm_get_user_permission,"parameter json, ref refcursor",refcursor,plpgsql,v,false,28,914,public/et_pm_get_user_permission.sql
