schema,name,severity,issue,details
public,get_sorted_hierarchy_bundle,LOW,SELECT_STAR,1 SELECT *
public,get_sorted_hierarchy_file,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,get_sorted_hierarchy_file,LOW,SELECT_STAR,1 SELECT *
public,get_sorted_hierarchy_file,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,get_sorted_hierarchy_file,LOW,SELECT_STAR,1 SELECT *
public,get_sorted_hierarchy_file_by_tab,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,get_sorted_hierarchy_file_by_tab,LOW,SELECT_STAR,1 SELECT *
public,get_sorted_hierarchy_file_by_tab,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,get_sorted_hierarchy_file_by_tab,LOW,SELECT_STAR,1 SELECT *
public,log_bd_change,HIGH,EXECUTE_NO_USING,3 EXECUTE without USING — possible SQL injection
public,log_bd_change,HIGH,EXECUTE_NO_USING,3 EXECUTE without USING — possible SQL injection
public,migrations_insertbundle,LOW,RAISE_NOTICE_DEBUG,3 statement(s)
public,migrations_insertbundle,LOW,SELECT_STAR,3 SELECT *
public,sym_largeobject,MEDIUM,EXCEPTION_WHEN_OTHERS,1 occurrence(s)
public,sym_largeobject,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,sym_node_disabled,MEDIUM,EXCEPTION_WHEN_OTHERS,1 occurrence(s)
public,sym_node_disabled,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,sym_triggers_disabled,MEDIUM,EXCEPTION_WHEN_OTHERS,1 occurrence(s)
public,sym_triggers_disabled,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,try_convert_to_dates,MEDIUM,EXCEPTION_WHEN_OTHERS,1 occurrence(s)
public,try_convert_to_dates,LOW,RAISE_NOTICE_DEBUG,4 statement(s)
public,try_convert_to_dates,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,try_convert_to_dates_end_only,MEDIUM,EXCEPTION_WHEN_OTHERS,2 occurrence(s)
public,try_convert_to_dates_start_only,MEDIUM,EXCEPTION_WHEN_OTHERS,2 occurrence(s)
realtime,et_annot_versions,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
realtime,et_annot_versions,LOW,SELECT_STAR,1 SELECT *
realtime,et_annotations,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
realtime,et_annottransfer_getdetail,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
realtime,et_annottransfer_getdetail,LOW,SELECT_STAR,2 SELECT *
realtime,et_annottransfer_getdetail_v2,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
realtime,et_annottransfer_insert_ref_quickmark,LOW,MULTIPLE_SELECT_INTO,3 SELECT INTO statements
realtime,et_annottransfer_insert_ref_quickmark,LOW,SELECT_STAR,4 SELECT *
realtime,et_annottransfer_updatecordinates_multi,LOW,SELECT_STAR,1 SELECT *
realtime,et_annottransfer_updatecordinates_multi_v2,LOW,SELECT_STAR,1 SELECT *
realtime,et_annottransfer_updatecordinates_quickmark,LOW,SELECT_STAR,1 SELECT *
realtime,et_annottransfer_updatecordinates_quickmark_multi,LOW,SELECT_STAR,2 SELECT *
realtime,et_combo_codemaster,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
realtime,et_comments_grid,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
realtime,et_comments_users,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
realtime,et_current_active_session,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
realtime,et_doc_delete,LOW,SELECT_STAR,2 SELECT *
realtime,et_doc_get_shared,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
realtime,et_doc_insert,LOW,MULTIPLE_SELECT_INTO,4 SELECT INTO statements
realtime,et_fact_get_contact,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
realtime,et_fact_get_detail_single,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
